instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,count
1636,19-01-2011,Winter,2011,January,8,No Holiday,Wednesday,Non-Working Day,Heavy Snow or Rain,55
1637,19-04-2011,Spring,2011,April,22,No Holiday,Tuesday,Working Day,Light Rain or Mist,128
1638,08-01-2011,Winter,2011,January,13,No Holiday,Saturday,Working Day,Heavy Snow or Rain,77
1639,20-01-2011,Winter,2011,January,8,Holiday,Thursday,Non-Working Day,Heavy Snow or Rain,101
1640,15-12-2012,Winter,2012,December,0,No Holiday,Saturday,Non-Working Day,Heavy Snow or Rain,124
1641,01-04-2012,Spring,2012,April,2,No Holiday,Sunday,Non-Working Day,Light Rain or Mist,37
1642,12-02-2012,Winter,2012,February,9,No Holiday,Sunday,Non-Working Day,Heavy Snow or Rain,265
1643,06-09-2011,Fall,2011,September,18,No Holiday,Tuesday,Working Day,Cloudy or Light Rain,321
1644,17-02-2012,Winter,2012,February,13,No Holiday,Friday,Working Day,Heavy Snow or Rain,233
1645,23-11-2011,Fall,2011,November,18,No Holiday,Wednesday,Working Day,Cloudy or Light Rain,463
1646,15-02-2011,Winter,2011,February,23,No Holiday,Tuesday,Non-Working Day,Heavy Snow or Rain,85
1647,20-01-2012,Winter,2012,January,2,No Holiday,Friday,Working Day,Heavy Snow or Rain,10
1648,04-03-2011,Spring,2011,March,11,No Holiday,Friday,Working Day,Light Rain or Mist,164
1649,10-09-2011,Fall,2011,September,3,No Holiday,Saturday,Working Day,Cloudy or Light Rain,7
1650,23-10-2011,Fall,2011,October,23,No Holiday,Sunday,Non-Working Day,Cloudy or Light Rain,93
1651,17-08-2012,Summer,2012,August,6,No Holiday,Friday,Non-Working Day,Clear or Partly Cloudy,21
1652,14-09-2012,Fall,2012,September,8,No Holiday,Friday,Working Day,Cloudy or Light Rain,721
1653,05-09-2011,Fall,2011,September,20,No Holiday,Monday,Working Day,Cloudy or Light Rain,52
1654,27-03-2012,Spring,2012,March,17,No Holiday,Tuesday,Non-Working Day,Light Rain or Mist,410
1655,06-02-2011,Winter,2011,February,4,No Holiday,Sunday,Working Day,Heavy Snow or Rain,4
1656,27-04-2011,Spring,2011,April,23,Holiday,Wednesday,Non-Working Day,Light Rain or Mist,20
1657,24-10-2011,Fall,2011,October,1,No Holiday,Monday,Working Day,Cloudy or Light Rain,8
1658,09-06-2011,Summer,2011,June,14,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,166
1659,25-01-2011,Winter,2011,January,13,No Holiday,Tuesday,Non-Working Day,Heavy Snow or Rain,137
1660,21-09-2012,Fall,2012,September,8,No Holiday,Friday,Working Day,Cloudy or Light Rain,713
1661,15-03-2012,Spring,2012,March,10,No Holiday,Thursday,Working Day,Light Rain or Mist,174
1662,14-01-2011,Winter,2011,January,17,No Holiday,Friday,Working Day,Heavy Snow or Rain,272
1663,27-05-2011,Spring,2011,May,21,No Holiday,Friday,Working Day,Light Rain or Mist,155
1664,02-08-2011,Summer,2011,August,7,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,274
1665,08-09-2012,Fall,2012,September,2,No Holiday,Saturday,Non-Working Day,Cloudy or Light Rain,26
1666,11-11-2011,Fall,2011,November,14,No Holiday,Friday,Working Day,Cloudy or Light Rain,48
1667,26-10-2011,Fall,2011,October,14,No Holiday,Wednesday,Working Day,Cloudy or Light Rain,178
1668,21-04-2011,Spring,2011,April,10,No Holiday,Thursday,Non-Working Day,Light Rain or Mist,260
1669,08-08-2011,Summer,2011,August,11,No Holiday,Monday,Non-Working Day,Clear or Partly Cloudy,254
1670,17-03-2011,Spring,2011,March,9,No Holiday,Thursday,Working Day,Light Rain or Mist,109
1671,09-02-2011,Winter,2011,February,20,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,87
1672,17-02-2012,Winter,2012,February,2,No Holiday,Friday,Non-Working Day,Heavy Snow or Rain,70
1673,25-08-2012,Summer,2012,August,2,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,1
1674,13-01-2011,Winter,2011,January,7,No Holiday,Thursday,Working Day,Heavy Snow or Rain,52
1675,28-10-2012,Fall,2012,October,3,No Holiday,Sunday,Working Day,Cloudy or Light Rain,2
1676,08-11-2012,Fall,2012,November,11,No Holiday,Thursday,Non-Working Day,Cloudy or Light Rain,404
1677,28-03-2012,Spring,2012,March,20,No Holiday,Wednesday,Working Day,Light Rain or Mist,235
1678,03-05-2012,Spring,2012,May,7,No Holiday,Thursday,Working Day,Light Rain or Mist,402
1679,12-03-2012,Spring,2012,March,9,No Holiday,Monday,Working Day,Light Rain or Mist,328
1680,08-04-2011,Spring,2011,April,9,No Holiday,Friday,Non-Working Day,Light Rain or Mist,207
1681,28-11-2011,Fall,2011,November,6,No Holiday,Monday,Working Day,Cloudy or Light Rain,76
1682,07-12-2011,Winter,2011,December,4,Holiday,Wednesday,Non-Working Day,Heavy Snow or Rain,3
1683,04-11-2012,Fall,2012,November,10,No Holiday,Sunday,Working Day,Cloudy or Light Rain,198
1684,10-05-2012,Spring,2012,May,0,No Holiday,Thursday,Non-Working Day,Light Rain or Mist,79
1685,10-01-2011,Winter,2011,January,3,No Holiday,Monday,Working Day,Heavy Snow or Rain,6
1686,28-10-2011,Fall,2011,October,18,No Holiday,Friday,Working Day,Cloudy or Light Rain,153
1687,10-05-2012,Spring,2012,May,3,No Holiday,Thursday,Working Day,Light Rain or Mist,14
1688,21-03-2011,Spring,2011,March,22,No Holiday,Monday,Working Day,Light Rain or Mist,21
1689,06-03-2011,Spring,2011,March,5,No Holiday,Sunday,Non-Working Day,Light Rain or Mist,1
1690,25-03-2011,Spring,2011,March,2,No Holiday,Friday,Working Day,Light Rain or Mist,13
1691,28-07-2012,Summer,2012,July,23,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,171
1692,10-10-2012,Fall,2012,October,23,No Holiday,Wednesday,Non-Working Day,Cloudy or Light Rain,63
1693,26-12-2011,Winter,2011,December,22,No Holiday,Monday,Working Day,Heavy Snow or Rain,51
1694,12-08-2012,Summer,2012,August,6,No Holiday,Sunday,Non-Working Day,Clear or Partly Cloudy,23
1695,22-05-2011,Spring,2011,May,17,No Holiday,Sunday,Working Day,Light Rain or Mist,271
1696,07-10-2012,Fall,2012,October,5,No Holiday,Sunday,Non-Working Day,Cloudy or Light Rain,8
1697,10-07-2012,Summer,2012,July,22,No Holiday,Tuesday,Non-Working Day,Clear or Partly Cloudy,89
1698,17-03-2011,Spring,2011,March,14,No Holiday,Thursday,Non-Working Day,Light Rain or Mist,380
1699,10-02-2012,Winter,2012,February,11,No Holiday,Friday,Non-Working Day,Heavy Snow or Rain,389
1700,01-12-2012,Winter,2012,December,17,No Holiday,Saturday,Working Day,Heavy Snow or Rain,858
1701,26-09-2012,Fall,2012,September,16,No Holiday,Wednesday,Non-Working Day,Cloudy or Light Rain,313
1702,09-07-2011,Summer,2011,July,10,No Holiday,Saturday,Non-Working Day,Clear or Partly Cloudy,183
1703,18-03-2012,Spring,2012,March,0,No Holiday,Sunday,Working Day,Light Rain or Mist,61
1704,08-01-2011,Winter,2011,January,15,No Holiday,Saturday,Working Day,Heavy Snow or Rain,198
1705,16-04-2012,Spring,2012,April,8,No Holiday,Monday,Working Day,Light Rain or Mist,797
1706,11-11-2012,Fall,2012,November,16,No Holiday,Sunday,Working Day,Cloudy or Light Rain,566
1707,12-10-2012,Fall,2012,October,19,No Holiday,Friday,Working Day,Cloudy or Light Rain,356
1708,17-04-2011,Spring,2011,April,10,No Holiday,Sunday,Working Day,Light Rain or Mist,55
1709,05-05-2011,Spring,2011,May,21,No Holiday,Thursday,Non-Working Day,Light Rain or Mist,164
1710,25-08-2012,Summer,2012,August,0,No Holiday,Saturday,Non-Working Day,Clear or Partly Cloudy,22
1711,13-07-2012,Summer,2012,July,20,No Holiday,Friday,Working Day,Clear or Partly Cloudy,163
1712,19-11-2011,Fall,2011,November,17,No Holiday,Saturday,Working Day,Cloudy or Light Rain,528
1713,10-01-2011,Winter,2011,January,11,No Holiday,Monday,Non-Working Day,Heavy Snow or Rain,119
1714,09-05-2012,Spring,2012,May,21,No Holiday,Wednesday,Working Day,Light Rain or Mist,152
1715,20-08-2011,Summer,2011,August,4,No Holiday,Saturday,Non-Working Day,Clear or Partly Cloudy,3
1716,18-03-2011,Spring,2011,March,12,No Holiday,Friday,Working Day,Light Rain or Mist,144
1717,14-03-2011,Spring,2011,March,7,No Holiday,Monday,Non-Working Day,Light Rain or Mist,29
1718,01-01-2011,Winter,2011,January,11,No Holiday,Saturday,Working Day,Heavy Snow or Rain,117
1719,21-04-2012,Spring,2012,April,20,No Holiday,Saturday,Non-Working Day,Light Rain or Mist,321
1720,25-11-2011,Fall,2011,November,3,No Holiday,Friday,Non-Working Day,Cloudy or Light Rain,45
1721,26-05-2011,Spring,2011,May,0,No Holiday,Thursday,Working Day,Light Rain or Mist,24
1722,15-12-2012,Winter,2012,December,20,No Holiday,Saturday,Working Day,Heavy Snow or Rain,360
1723,10-03-2012,Spring,2012,March,9,No Holiday,Saturday,Non-Working Day,Light Rain or Mist,282
1724,10-01-2012,Winter,2012,January,13,No Holiday,Tuesday,Non-Working Day,Heavy Snow or Rain,525
1725,24-03-2011,Spring,2011,March,20,No Holiday,Thursday,Non-Working Day,Light Rain or Mist,296
1726,11-01-2012,Winter,2012,January,20,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,447
1727,07-11-2012,Fall,2012,November,4,No Holiday,Wednesday,Non-Working Day,Cloudy or Light Rain,14
1728,02-07-2012,Summer,2012,July,19,No Holiday,Monday,Working Day,Clear or Partly Cloudy,384
1729,13-04-2011,Spring,2011,April,3,No Holiday,Wednesday,Working Day,Light Rain or Mist,3
1730,19-12-2012,Winter,2012,December,10,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,60
1731,02-03-2011,Spring,2011,March,6,No Holiday,Wednesday,Working Day,Light Rain or Mist,72
1732,05-08-2011,Summer,2011,August,1,No Holiday,Friday,Working Day,Clear or Partly Cloudy,5
1733,13-09-2011,Fall,2011,September,6,No Holiday,Tuesday,Non-Working Day,Cloudy or Light Rain,20
1734,17-02-2011,Winter,2011,February,11,No Holiday,Thursday,Non-Working Day,Heavy Snow or Rain,209
1735,28-04-2011,Spring,2011,April,23,No Holiday,Thursday,Working Day,Light Rain or Mist,20
1736,08-08-2012,Summer,2012,August,0,No Holiday,Wednesday,Non-Working Day,Clear or Partly Cloudy,91
1737,03-01-2011,Winter,2011,January,16,No Holiday,Monday,Non-Working Day,Heavy Snow or Rain,335
1738,06-10-2012,Fall,2012,October,23,No Holiday,Saturday,Working Day,Cloudy or Light Rain,128
1739,28-10-2011,Fall,2011,October,13,No Holiday,Friday,Working Day,Cloudy or Light Rain,136
1740,16-08-2011,Summer,2011,August,18,No Holiday,Tuesday,Non-Working Day,Clear or Partly Cloudy,83
1741,09-08-2011,Summer,2011,August,17,Holiday,Tuesday,Non-Working Day,Clear or Partly Cloudy,310
1742,19-04-2012,Spring,2012,April,14,No Holiday,Thursday,Working Day,Light Rain or Mist,117
1743,28-11-2012,Fall,2012,November,19,No Holiday,Wednesday,Working Day,Cloudy or Light Rain,414
1744,04-10-2011,Fall,2011,October,0,No Holiday,Tuesday,Working Day,Cloudy or Light Rain,30
1745,06-08-2011,Summer,2011,August,7,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,70
1746,18-09-2011,Fall,2011,September,3,No Holiday,Sunday,Working Day,Cloudy or Light Rain,4
1747,27-10-2011,Fall,2011,October,10,No Holiday,Thursday,Working Day,Cloudy or Light Rain,69
1748,21-06-2012,Summer,2012,June,7,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,357
1749,27-03-2011,Spring,2011,March,5,No Holiday,Sunday,Non-Working Day,Light Rain or Mist,6
1750,24-08-2011,Summer,2011,August,10,No Holiday,Wednesday,Non-Working Day,Clear or Partly Cloudy,241
1751,28-02-2011,Winter,2011,February,2,No Holiday,Monday,Working Day,Heavy Snow or Rain,2
1752,14-02-2011,Winter,2011,February,0,No Holiday,Monday,Non-Working Day,Heavy Snow or Rain,75
1753,14-07-2011,Summer,2011,July,14,No Holiday,Thursday,Non-Working Day,Clear or Partly Cloudy,386
1754,16-07-2012,Summer,2012,July,21,No Holiday,Monday,Working Day,Clear or Partly Cloudy,233
1755,05-07-2011,Summer,2011,July,8,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,454
1756,09-04-2012,Spring,2012,April,23,No Holiday,Monday,Non-Working Day,Light Rain or Mist,118
1757,20-09-2011,Fall,2011,September,22,No Holiday,Tuesday,Non-Working Day,Cloudy or Light Rain,82
1758,10-04-2012,Spring,2012,April,4,No Holiday,Tuesday,Non-Working Day,Light Rain or Mist,7
1759,22-12-2012,Winter,2012,December,13,No Holiday,Saturday,Working Day,Heavy Snow or Rain,250
1760,14-10-2012,Fall,2012,October,15,No Holiday,Sunday,Working Day,Cloudy or Light Rain,276
1761,28-06-2012,Summer,2012,June,23,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,64
1762,23-03-2011,Spring,2011,March,20,No Holiday,Wednesday,Working Day,Light Rain or Mist,168
1763,13-11-2012,Fall,2012,November,19,No Holiday,Tuesday,Working Day,Cloudy or Light Rain,371
1764,14-01-2011,Winter,2011,January,6,No Holiday,Friday,Working Day,Heavy Snow or Rain,97
1765,19-07-2012,Summer,2012,July,23,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,46
1766,11-11-2012,Fall,2012,November,23,No Holiday,Sunday,Working Day,Cloudy or Light Rain,62
1767,09-07-2011,Summer,2011,July,2,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,12
1768,25-03-2011,Spring,2011,March,10,No Holiday,Friday,Working Day,Light Rain or Mist,132
1769,05-08-2012,Summer,2012,August,5,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,35
1770,22-04-2011,Spring,2011,April,11,No Holiday,Friday,Non-Working Day,Light Rain or Mist,279
1771,01-11-2012,Fall,2012,November,6,No Holiday,Thursday,Working Day,Cloudy or Light Rain,155
1772,25-06-2011,Summer,2011,June,20,No Holiday,Saturday,Non-Working Day,Clear or Partly Cloudy,176
1773,06-06-2012,Summer,2012,June,21,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,221
1774,12-03-2012,Spring,2012,March,1,No Holiday,Monday,Non-Working Day,Light Rain or Mist,109
1775,23-01-2012,Winter,2012,January,12,No Holiday,Monday,Working Day,Heavy Snow or Rain,144
1776,22-06-2012,Summer,2012,June,6,No Holiday,Friday,Non-Working Day,Clear or Partly Cloudy,80
1777,15-04-2012,Spring,2012,April,0,No Holiday,Sunday,Working Day,Light Rain or Mist,28
1778,16-12-2012,Winter,2012,December,12,No Holiday,Sunday,Working Day,Heavy Snow or Rain,244
1779,28-07-2011,Summer,2011,July,15,No Holiday,Thursday,Non-Working Day,Clear or Partly Cloudy,113
1780,04-05-2012,Spring,2012,May,11,No Holiday,Friday,Non-Working Day,Light Rain or Mist,536
1781,16-05-2011,Spring,2011,May,17,No Holiday,Monday,Working Day,Light Rain or Mist,205
1782,19-10-2012,Fall,2012,October,9,No Holiday,Friday,Working Day,Cloudy or Light Rain,357
1783,15-09-2011,Fall,2011,September,21,No Holiday,Thursday,Working Day,Cloudy or Light Rain,200
1784,23-01-2012,Winter,2012,January,14,No Holiday,Monday,Working Day,Heavy Snow or Rain,218
1785,04-11-2012,Fall,2012,November,1,No Holiday,Sunday,Working Day,Cloudy or Light Rain,5
1786,02-05-2011,Spring,2011,May,20,No Holiday,Monday,Working Day,Light Rain or Mist,219
1787,13-05-2011,Spring,2011,May,5,No Holiday,Friday,Working Day,Light Rain or Mist,27
1788,10-03-2012,Spring,2012,March,4,No Holiday,Saturday,Working Day,Light Rain or Mist,7
1789,05-11-2012,Fall,2012,November,23,No Holiday,Monday,Working Day,Cloudy or Light Rain,136
1790,17-01-2011,Winter,2011,January,8,No Holiday,Monday,Working Day,Heavy Snow or Rain,355
1791,05-08-2011,Summer,2011,August,1,No Holiday,Friday,Non-Working Day,Clear or Partly Cloudy,71
1792,02-06-2011,Summer,2011,June,4,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,5
1793,20-05-2012,Spring,2012,May,1,No Holiday,Sunday,Working Day,Light Rain or Mist,5
1794,22-09-2011,Fall,2011,September,12,No Holiday,Thursday,Working Day,Cloudy or Light Rain,176
1795,07-06-2011,Summer,2011,June,6,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,104
1796,20-10-2011,Fall,2011,October,2,No Holiday,Thursday,Working Day,Cloudy or Light Rain,3
1797,21-07-2012,Summer,2012,July,2,No Holiday,Saturday,Non-Working Day,Clear or Partly Cloudy,41
1798,11-07-2011,Summer,2011,July,2,No Holiday,Monday,Working Day,Clear or Partly Cloudy,3
1799,13-01-2011,Winter,2011,January,0,No Holiday,Thursday,Working Day,Heavy Snow or Rain,37
1800,12-09-2012,Fall,2012,September,18,No Holiday,Wednesday,Working Day,Cloudy or Light Rain,643
1801,27-11-2012,Fall,2012,November,1,No Holiday,Tuesday,Working Day,Cloudy or Light Rain,24
1802,16-06-2012,Summer,2012,June,3,No Holiday,Saturday,Non-Working Day,Clear or Partly Cloudy,35
1803,09-06-2012,Summer,2012,June,19,No Holiday,Saturday,Non-Working Day,Clear or Partly Cloudy,253
1804,03-10-2011,Fall,2011,October,16,No Holiday,Monday,Working Day,Cloudy or Light Rain,213
1805,10-06-2012,Summer,2012,June,1,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,6
1806,11-03-2012,Spring,2012,March,21,No Holiday,Sunday,Non-Working Day,Light Rain or Mist,169
1807,13-09-2012,Fall,2012,September,3,No Holiday,Thursday,Non-Working Day,Cloudy or Light Rain,28
1808,26-12-2012,Winter,2012,December,23,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,32
1809,26-10-2012,Fall,2012,October,10,No Holiday,Friday,Working Day,Cloudy or Light Rain,156
1810,15-03-2011,Spring,2011,March,11,No Holiday,Tuesday,Working Day,Light Rain or Mist,122
1811,28-04-2012,Spring,2012,April,8,No Holiday,Saturday,Working Day,Light Rain or Mist,419
1812,22-06-2011,Summer,2011,June,18,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,310
1813,05-11-2011,Fall,2011,November,14,No Holiday,Saturday,Working Day,Cloudy or Light Rain,138
1814,10-08-2011,Summer,2011,August,7,No Holiday,Wednesday,Non-Working Day,Clear or Partly Cloudy,34
1815,16-06-2011,Summer,2011,June,7,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,309
1816,08-03-2011,Spring,2011,March,13,No Holiday,Tuesday,Non-Working Day,Light Rain or Mist,75
1817,16-07-2012,Summer,2012,July,11,No Holiday,Monday,Working Day,Clear or Partly Cloudy,84
1818,08-05-2012,Spring,2012,May,22,No Holiday,Tuesday,Working Day,Light Rain or Mist,23
1819,22-07-2011,Summer,2011,July,20,No Holiday,Friday,Working Day,Clear or Partly Cloudy,346
1820,21-02-2012,Winter,2012,February,1,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,13
1821,13-10-2012,Fall,2012,October,1,No Holiday,Saturday,Non-Working Day,Cloudy or Light Rain,95
1822,07-05-2012,Spring,2012,May,12,No Holiday,Monday,Working Day,Light Rain or Mist,215
1823,27-11-2011,Fall,2011,November,1,No Holiday,Sunday,Working Day,Cloudy or Light Rain,10
1824,05-12-2011,Winter,2011,December,8,No Holiday,Monday,Working Day,Heavy Snow or Rain,372
1825,26-03-2012,Spring,2012,March,10,No Holiday,Monday,Working Day,Light Rain or Mist,238
1826,28-03-2012,Spring,2012,March,2,No Holiday,Wednesday,Working Day,Light Rain or Mist,11
1827,22-09-2011,Fall,2011,September,5,No Holiday,Thursday,Non-Working Day,Cloudy or Light Rain,3
1828,17-04-2011,Spring,2011,April,1,No Holiday,Sunday,Non-Working Day,Light Rain or Mist,115
1829,23-03-2011,Spring,2011,March,14,No Holiday,Wednesday,Non-Working Day,Light Rain or Mist,55
1830,18-04-2011,Spring,2011,April,9,No Holiday,Monday,Non-Working Day,Light Rain or Mist,179
1831,03-11-2011,Fall,2011,November,21,No Holiday,Thursday,Working Day,Cloudy or Light Rain,127
1832,04-04-2011,Spring,2011,April,16,No Holiday,Monday,Working Day,Light Rain or Mist,104
1833,08-09-2012,Fall,2012,September,3,No Holiday,Saturday,Non-Working Day,Cloudy or Light Rain,43
1834,18-04-2012,Spring,2012,April,14,No Holiday,Wednesday,Non-Working Day,Light Rain or Mist,518
1835,28-11-2011,Fall,2011,November,8,No Holiday,Monday,Non-Working Day,Cloudy or Light Rain,34
1836,10-07-2011,Summer,2011,July,3,No Holiday,Sunday,Non-Working Day,Clear or Partly Cloudy,33
1837,05-11-2011,Fall,2011,November,21,No Holiday,Saturday,Working Day,Cloudy or Light Rain,152
1838,08-07-2011,Summer,2011,July,22,No Holiday,Friday,Working Day,Clear or Partly Cloudy,182
1839,12-06-2011,Summer,2011,June,14,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,25
1840,19-10-2011,Fall,2011,October,23,No Holiday,Wednesday,Non-Working Day,Cloudy or Light Rain,107
1841,13-09-2011,Fall,2011,September,7,No Holiday,Tuesday,Working Day,Cloudy or Light Rain,168
1842,07-02-2012,Winter,2012,February,6,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,144
1843,23-11-2012,Fall,2012,November,2,No Holiday,Friday,Working Day,Cloudy or Light Rain,18
1844,15-01-2012,Winter,2012,January,6,No Holiday,Sunday,Working Day,Heavy Snow or Rain,211
1845,25-02-2011,Winter,2011,February,18,No Holiday,Friday,Non-Working Day,Heavy Snow or Rain,152
1846,14-08-2012,Summer,2012,August,15,No Holiday,Tuesday,Non-Working Day,Clear or Partly Cloudy,276
1847,08-12-2011,Winter,2011,December,17,No Holiday,Thursday,Working Day,Heavy Snow or Rain,495
1848,09-06-2011,Summer,2011,June,11,No Holiday,Thursday,Non-Working Day,Clear or Partly Cloudy,374
1849,26-11-2012,Fall,2012,November,10,No Holiday,Monday,Non-Working Day,Cloudy or Light Rain,425
1850,06-09-2012,Fall,2012,September,18,No Holiday,Thursday,Working Day,Cloudy or Light Rain,98
1851,05-12-2012,Winter,2012,December,16,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,536
1852,13-06-2012,Summer,2012,June,11,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,239
1853,15-05-2011,Spring,2011,May,23,No Holiday,Sunday,Working Day,Light Rain or Mist,47
1854,20-01-2012,Winter,2012,January,14,No Holiday,Friday,Non-Working Day,Heavy Snow or Rain,149
1855,21-12-2011,Winter,2011,December,19,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,394
1856,27-01-2011,Winter,2011,January,7,No Holiday,Thursday,Non-Working Day,Heavy Snow or Rain,8
1857,18-04-2011,Spring,2011,April,11,No Holiday,Monday,Working Day,Light Rain or Mist,144
1858,21-06-2011,Summer,2011,June,17,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,52
1859,02-01-2012,Winter,2012,January,14,No Holiday,Monday,Working Day,Heavy Snow or Rain,51
1860,16-09-2012,Fall,2012,September,21,No Holiday,Sunday,Non-Working Day,Cloudy or Light Rain,110
1861,15-08-2011,Summer,2011,August,3,No Holiday,Monday,Working Day,Clear or Partly Cloudy,1
1862,06-07-2012,Summer,2012,July,6,No Holiday,Friday,Working Day,Clear or Partly Cloudy,194
1863,09-08-2011,Summer,2011,August,19,No Holiday,Tuesday,Non-Working Day,Clear or Partly Cloudy,61
1864,06-10-2011,Fall,2011,October,20,No Holiday,Thursday,Non-Working Day,Cloudy or Light Rain,121
1865,15-12-2011,Winter,2011,December,21,No Holiday,Thursday,Non-Working Day,Heavy Snow or Rain,45
1866,16-12-2012,Winter,2012,December,4,No Holiday,Sunday,Working Day,Heavy Snow or Rain,9
1867,22-03-2011,Spring,2011,March,13,No Holiday,Tuesday,Working Day,Light Rain or Mist,155
1868,07-03-2011,Spring,2011,March,18,No Holiday,Monday,Non-Working Day,Light Rain or Mist,383
1869,02-11-2011,Fall,2011,November,6,No Holiday,Wednesday,Working Day,Cloudy or Light Rain,99
1870,05-10-2012,Fall,2012,October,4,No Holiday,Friday,Non-Working Day,Cloudy or Light Rain,11
1871,05-04-2012,Spring,2012,April,23,No Holiday,Thursday,Working Day,Light Rain or Mist,84
1872,19-08-2012,Summer,2012,August,13,No Holiday,Sunday,Non-Working Day,Clear or Partly Cloudy,679
1873,26-06-2011,Summer,2011,June,19,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,384
1874,17-08-2012,Summer,2012,August,22,Holiday,Friday,Non-Working Day,Clear or Partly Cloudy,107
1875,25-12-2012,Winter,2012,December,20,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,262
1876,24-10-2011,Fall,2011,October,5,No Holiday,Monday,Working Day,Cloudy or Light Rain,24
1877,12-04-2011,Spring,2011,April,19,No Holiday,Tuesday,Working Day,Light Rain or Mist,226
1878,01-10-2011,Fall,2011,October,8,No Holiday,Saturday,Working Day,Cloudy or Light Rain,476
1879,16-09-2012,Fall,2012,September,16,No Holiday,Sunday,Working Day,Cloudy or Light Rain,421
1880,24-01-2012,Winter,2012,January,1,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,17
1881,19-07-2011,Summer,2011,July,17,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,190
1882,05-03-2012,Spring,2012,March,3,No Holiday,Monday,Working Day,Light Rain or Mist,4
1883,12-05-2011,Spring,2011,May,6,No Holiday,Thursday,Non-Working Day,Light Rain or Mist,38
1884,19-03-2012,Spring,2012,March,21,No Holiday,Monday,Working Day,Light Rain or Mist,301
1885,23-09-2012,Fall,2012,September,3,No Holiday,Sunday,Working Day,Cloudy or Light Rain,1
1886,25-11-2012,Fall,2012,November,17,No Holiday,Sunday,Non-Working Day,Cloudy or Light Rain,463
1887,24-02-2011,Winter,2011,February,3,No Holiday,Thursday,Working Day,Heavy Snow or Rain,1
1888,16-10-2011,Fall,2011,October,20,No Holiday,Sunday,Working Day,Cloudy or Light Rain,70
1889,13-02-2012,Winter,2012,February,5,No Holiday,Monday,Working Day,Heavy Snow or Rain,24
1890,16-03-2012,Spring,2012,March,19,No Holiday,Friday,Working Day,Light Rain or Mist,494
1891,01-09-2011,Fall,2011,September,7,No Holiday,Thursday,Working Day,Cloudy or Light Rain,137
1892,08-12-2011,Winter,2011,December,12,No Holiday,Thursday,Working Day,Heavy Snow or Rain,214
1893,27-07-2012,Summer,2012,July,11,No Holiday,Friday,Non-Working Day,Clear or Partly Cloudy,569
1894,11-08-2012,Summer,2012,August,12,No Holiday,Saturday,Non-Working Day,Clear or Partly Cloudy,201
1895,09-05-2011,Spring,2011,May,21,No Holiday,Monday,Working Day,Light Rain or Mist,75
1896,25-07-2012,Summer,2012,July,0,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,56
1897,11-03-2012,Spring,2012,March,23,No Holiday,Sunday,Working Day,Light Rain or Mist,36
1898,01-12-2011,Winter,2011,December,1,No Holiday,Thursday,Working Day,Heavy Snow or Rain,13
1899,04-12-2011,Winter,2011,December,18,No Holiday,Sunday,Non-Working Day,Heavy Snow or Rain,256
1900,24-12-2012,Winter,2012,December,8,No Holiday,Monday,Working Day,Heavy Snow or Rain,665
1901,17-12-2011,Winter,2011,December,22,No Holiday,Saturday,Working Day,Heavy Snow or Rain,37
1902,18-10-2012,Fall,2012,October,17,No Holiday,Thursday,Working Day,Cloudy or Light Rain,810
1903,08-07-2011,Summer,2011,July,19,Holiday,Friday,Non-Working Day,Clear or Partly Cloudy,209
1904,12-02-2011,Winter,2011,February,8,No Holiday,Saturday,Non-Working Day,Heavy Snow or Rain,89
1905,27-11-2012,Fall,2012,November,17,No Holiday,Tuesday,Non-Working Day,Cloudy or Light Rain,505
